District,Crop,Area,Production,Yield
Ahmedabad,GNUT,608,229,377
Ahmedabad,GNUT,653,407,622
Ahmedabad,GNUT,652,301,461
Ahmedabad,GNUT,499,341,683
Ahmedabad,GNUT,396,192,486
Ahmedabad,GNUT,307,167,543
Ahmedabad,GNUT,234,81,350
Ahmedabad,GNUT,193,91,471
Ahmedabad,GNUT,183,55,299
Ahmedabad,GNUT,82,52,642
Ahmedabad,GNUT,63,63,838
Ahmedabad,GNUT,109,88,656
Ahmedabad,GNUT,66,22,197
Ahmedabad,GNUT,64,52,919
Ahmedabad,GNUT,81,46,174
Ahmedabad,GNUT,85,82,1022
Ahmedabad,GNUT,120,87,795
Ahmedabad,GNUT,109,74,447
Ahmedabad,GNUT,112,63,396
Ahmedabad,GNUT,76,47,433
Ahmedabad,GNUT,74,41,425
Ahmedabad,GNUT,68,38,457
Ahmedabad,GNUT,34,20,588
Ahmedabad,GNUT,40,40,1000
Ahmedabad,GNUT,24,21,875
Ahmedabad,GNUT,12,7,583
Ahmedabad,GNUT,4,4,1000
Ahmedabad,GNUT,1,1,1000
Ahmedabad,GNUT,4,6,1500
Ahmedabad,GNUT,5,4,800
Ahmedabad,GNUT,5,7,1400
Ahmedabad,GNUT,7,6,857
Ahmedabad,GNUT,4,5,1250
Ahmedabad,GNUT,6,6,1000
Ahmedabad,GNUT,4,5,1250
Ahmedabad,GNUT,5,6,1200
Ahmedabad,GNUT,5,6,1200
Ahmedabad,GNUT,6,7,1167
Ahmedabad,GNUT,11,15,1364
Ahmedabad,GNUT,16,11,688
Ahmedabad,GNUT,8,4,500
Ahmedabad,GNUT,14,19,1357
Ahmedabad,GNUT,22,13,553
Ahmedabad,GNUT,1,3,2264
Ahmedabad,GNUT,1,1,1000
Ahmedabad,GNUT,1,2,2000
Ahmedabad,GNUT,3,4,1333
Ahmedabad,GNUT,2,4,2000
Ahmedabad,GNUT,4,6,1500
Banaskantha,GNUT,100,47,466
Banaskantha,GNUT,90,72,808
Banaskantha,GNUT,126,45,351
Banaskantha,GNUT,109,55,505
Banaskantha,GNUT,65,24,367
Banaskantha,GNUT,67,14,217
Banaskantha,GNUT,50,31,611
Banaskantha,GNUT,44,32,721
Banaskantha,GNUT,27,8,299
Banaskantha,GNUT,19,12,642
Banaskantha,GNUT,36,36,1206
Banaskantha,GNUT,17,13,978
Banaskantha,GNUT,13,4,312
Banaskantha,GNUT,16,13,1154
Banaskantha,GNUT,23,14,332
Banaskantha,GNUT,22,21,1721
Banaskantha,GNUT,31,22,1087
Banaskantha,GNUT,28,19,1348
Banaskantha,GNUT,33,18,1321
Banaskantha,GNUT,33,20,560
Banaskantha,GNUT,32,28,541
Banaskantha,GNUT,31,29,523
Banaskantha,GNUT,21,14,667
Banaskantha,GNUT,19,19,1000
Banaskantha,GNUT,24,20,833
Banaskantha,GNUT,21,9,412
Banaskantha,GNUT,19,15,789
Banaskantha,GNUT,8,1,125
Banaskantha,GNUT,9,14,1555
Banaskantha,GNUT,11,10,909
Banaskantha,GNUT,14,10,714
Banaskantha,GNUT,24,10,417
Banaskantha,GNUT,26,31,1192
Banaskantha,GNUT,28,17,607
Banaskantha,GNUT,27,33,1222
Banaskantha,GNUT,25,21,840
Banaskantha,GNUT,27,39,1444
Banaskantha,GNUT,30,44,1467
Banaskantha,GNUT,30,43,1433
Banaskantha,GNUT,44,30,619
Banaskantha,GNUT,20,14,700
Banaskantha,GNUT,23,32,1391
Banaskantha,GNUT,25,14,588
Banaskantha,GNUT,41,87,2122
Banaskantha,GNUT,52,51,981
Banaskantha,GNUT,195,335,1718
Banaskantha,GNUT,224,222,991
Banaskantha,GNUT,218,388,1780
Banaskantha,GNUT,265,371,1400
Vadodara,GNUT,339,279,827
Vadodara,GNUT,432,292,675
Vadodara,GNUT,399,185,464
Vadodara,GNUT,348,208,598
Vadodara,GNUT,344,174,506
Vadodara,GNUT,304,76,252
Vadodara,GNUT,271,88,326
Vadodara,GNUT,205,148,721
Vadodara,GNUT,190,57,299
Vadodara,GNUT,169,108,642
Vadodara,GNUT,241,213,1037
Vadodara,GNUT,219,176,989
Vadodara,GNUT,174,58,454
Vadodara,GNUT,173,140,705
Vadodara,GNUT,154,89,565
Vadodara,GNUT,175,170,1155
Vadodara,GNUT,157,115,736
Vadodara,GNUT,166,113,676
Vadodara,GNUT,168,94,560
Vadodara,GNUT,156,95,659
Vadodara,GNUT,154,75,658
Vadodara,GNUT,165,112,574
Vadodara,GNUT,177,115,450
Vadodara,GNUT,192,193,1005
Vadodara,GNUT,169,151,893
Vadodara,GNUT,111,55,495
Vadodara,GNUT,102,57,559
Vadodara,GNUT,77,29,377
Vadodara,GNUT,108,164,1509
Vadodara,GNUT,114,112,982
Vadodara,GNUT,206,199,966
Vadodara,GNUT,252,208,825
Vadodara,GNUT,220,228,1036
Vadodara,GNUT,217,196,903
Vadodara,GNUT,187,229,1225
Vadodara,GNUT,127,142,1118
Vadodara,GNUT,109,160,1468
Vadodara,GNUT,130,208,1600
Vadodara,GNUT,127,182,1433
Vadodara,GNUT,51,70,1373
Vadodara,GNUT,31,29,935
Vadodara,GNUT,54,71,1315
Vadodara,GNUT,55,80,1472
Vadodara,GNUT,141,236,1675
Vadodara,GNUT,153,243,1588
Vadodara,GNUT,111,178,1604
Vadodara,GNUT,110,202,1836
Vadodara,GNUT,171,280,1637
Vadodara,GNUT,165,287,1739
Bharuch,GNUT,179,144,809
Bharuch,GNUT,213,191,901
Bharuch,GNUT,265,123,464
Bharuch,GNUT,247,179,725
Bharuch,GNUT,207,126,611
Bharuch,GNUT,197,43,217
Bharuch,GNUT,164,84,515
Bharuch,GNUT,108,77,721
Bharuch,GNUT,96,29,299
Bharuch,GNUT,80,51,642
Bharuch,GNUT,84,83,710
Bharuch,GNUT,75,60,853
Bharuch,GNUT,74,25,939
Bharuch,GNUT,81,66,872
Bharuch,GNUT,87,50,470
Bharuch,GNUT,186,181,903
Bharuch,GNUT,168,123,537
Bharuch,GNUT,179,122,546
Bharuch,GNUT,128,72,590
Bharuch,GNUT,143,87,469
Bharuch,GNUT,142,68,452
Bharuch,GNUT,110,57,498
Bharuch,GNUT,79,43,544
Bharuch,GNUT,62,62,1000
Bharuch,GNUT,69,60,870
Bharuch,GNUT,44,19,432
Bharuch,GNUT,36,29,806
Bharuch,GNUT,44,16,364
Bharuch,GNUT,110,171,1555
Bharuch,GNUT,91,81,890
Bharuch,GNUT,87,103,1184
Bharuch,GNUT,98,99,1010
Bharuch,GNUT,107,142,1327
Bharuch,GNUT,110,87,791
Bharuch,GNUT,85,106,1247
Bharuch,GNUT,71,70,986
Bharuch,GNUT,52,65,1250
